freq,class,sub_class,name,tooltip,alias,ignore
100,VERB,NA,foster,foster,\bfoster\b|\bFoster\b|\bfostered\b|\bfostering\b|\bFostering\b|\bfosters\b,FALSE
98,VERB,NA,appear,appear,\bappear\b|\bappeared\b|\bappearing\b|\bappears\b,FALSE
97,VERB,NA,seem,seem,\bseem\b|\bseemed\b|\bseems\b,FALSE
97,VERB,NA,allocate,allocate,\ballocate\b|\ballocated\b|\ballocating\b,FALSE
96,VERB,NA,subcontract,subcontract,\bsubcontract\b|\bsubcontracted\b|\bsubcontracting\b|\bsubcontracts\b,FALSE
96,VERB,NA,contracting,contracting,\bcontracting\b|\bContracting\b,FALSE
93,VERB,NA,modify,modify,\bmodified\b|\bmodifies\b|\bmodify\b|\bmodifying\b,FALSE
93,VERB,NA,maximize,maximize,\bmaximize\b|\bmaximized\b|\bmaximizes\b|\bmaximizing\b,FALSE
91,VERB,NA,spin,spin,\bspin\b|\bspinning\b|\bspun\b,FALSE
87,VERB,NA,mapping,mapping,\bmapping\b|\bMapping\b,FALSE
86,VERB,NA,engineere,engineere,\bengineered\b,FALSE
86,VERB,NA,cooperate,cooperate,\bcooperate\b|\bcooperated\b|\bcooperates\b|\bcooperating\b,FALSE
86,VERB,NA,revise,revise,\brevise\b|\bRevise\b|\brevised\b|\bRevised\b|\brevising\b,FALSE
83,VERB,NA,underline,underline,\bunderline\b|\bunderlines\b,FALSE
83,VERB,NA,bidding,bidding,\bbidding\b|\bBidding\b,FALSE
83,VERB,NA,finalise,finalise,\bfinalise\b|\bfinalised\b|\bfinalises\b|\bfinalising\b,FALSE
82,VERB,NA,leasis,leasis,\bleases\b,FALSE
82,VERB,NA,repeat,repeat,\brepeat\b|\brepeated\b|\brepeating\b|\brepeats\b,FALSE
81,VERB,NA,inaugurate,inaugurate,\binaugurate\b|\binaugurated\b|\binaugurates\b,FALSE
81,VERB,NA,convince,convince,\bconvince\b|\bconvinced\b,FALSE
80,VERB,NA,split,split,\bsplit\b|\bsplits\b|\bSplitting\b,FALSE
79,VERB,NA,remind,remind,\bremind\b|\breminded\b|\breminds\b,FALSE
78,VERB,NA,concentrate,concentrate,\bconcentrate\b|\bconcentrated\b|\bconcentrates\b|\bconcentrating\b,FALSE
77,VERB,NA,await,await,\bawait\b|\bawaited\b|\bawaiting\b|\bawaits\b,FALSE
77,VERB,NA,Lockheed,Lockheed,\bLockheed\b,FALSE
75,VERB,NA,warn,warn,\bwarn\b|\bwarned\b|\bwarning\b|\bWarning\b|\bwarns\b,FALSE
75,VERB,NA,colleague,colleague,\bcolleague\b|\bcolleagues\b,FALSE
74,VERB,NA,headquartere,headquartere,\bheadquartered\b,FALSE
74,VERB,NA,encompass,encompass,\bencompass\b|\bencompassed\b|\bencompasses\b,FALSE
73,VERB,NA,instruct,instruct,\binstruct\b|\binstructed\b|\bInstructed\b|\binstructs\b,FALSE
73,VERB,NA,cater,cater,\bcater\b|\bcatered\b|\bcatering\b|\bcaters\b,FALSE
72,VERB,NA,reliably,reliably,\breliably\b,FALSE
72,VERB,NA,mention,mention,\bmention\b|\bmentioned\b|\bmentioning\b|\bmentions\b,FALSE
72,VERB,NA,oversee,oversee,\boversaw\b|\boversee\b|\boverseeing\b|\bOverseeing\b|\boversees\b,FALSE
71,VERB,NA,insulate,insulate,\binsulate\b|\binsulated\b,FALSE
