"freq","class","sub_class","name","tooltip","alias","ignore"
4091,"TERM",NA,"OWF","Offshore Wind Farms","((O|o)ffshore )?(W|w)ind (F|f)arms|\bOWF\b",FALSE
3293,"TERM",NA,"Research","Research","(R|r)esearch",FALSE
1496,"TERM",NA,"CEO","Chief Executive Officer","(C|c)hief (E|e)xecutive (O|o)fficer|\bCEO\b",FALSE
1027,"TERM",NA,"Oil & Gas","Oil & Gas","Oil (&|and) Gas",TRUE
983,"TERM",NA,"supply chain","supply chain","supply chain",TRUE
865,"TERM",NA,"LiDAR","Light Detection and Ranging Tech.","Light Detection and Ranging|(floating |F|B|Sea|DeepC)?LiDAR( technology)?",TRUE
826,"TERM",NA,"HVDC","High Voltage DC","\bHVDC\b",FALSE
796,"TERM",NA,"export cable","export cable","export cables?",TRUE
780,"TERM",NA,"OSS","Offshore Substation","Offshore Substation?|\bOSS\b",TRUE
726,"TERM",NA,"Wave Energy","Wave Energy","Wave Energy",TRUE
